id,name,position,total_points
4241479,Tua Tagovailoa,QB,135.46
3043234,Zane Gonzalez,K,92.0
3117256,Dalton Schultz,TE,115.0
13217,Golden Tate,WR,69.02
3051926,Gus Edwards,RB,123.7
3039707,Mitchell Trubisky,QB,153.7
-16006,Cowboys D/ST,D/ST,67.0
3128774,Kalen Ballage,RB,79.4
16339,Brandon McManus,K,130.0
3049916,Matt Breida,RB,37.5
3915511,Joe Burrow,QB,173.72
16728,Teddy Bridgewater,QB,241.22
2577417,Dak Prescott,QB,135.14
3051439,Boston Scott,RB,83.1
3915399,Preston Williams,WR,65.8
5529,Philip Rivers,QB,239.96
3066158,Tarik Cohen,RB,14.5
3060022,Jordan Howard,RB,30.2
3917792,Daniel Jones,QB,180.02
3050478,Jake Elliott,K,70.0
-16010,Titans D/ST,D/ST,55.0
-16019,Giants D/ST,D/ST,110.0
2983509,Dare Ogunbowale,RB,24.9
2979477,Tevin Coleman,RB,10.7
4241802,Jalen Reagor,WR,71.7
3123052,Michael Badgley,K,111.0
3915411,Ty Johnson,RB,55.3
16944,Devonta Freeman,RB,32.5
16777,Carlos Hyde,RB,76.9
-16029,Panthers D/ST,D/ST,97.0
4243160,Laviska Shenault Jr.,WR,128.1
2971573,Ka'imi Fairbairn,K,128.0
14054,Kyle Rudolph,TE,51.4
4040980,Irv Smith Jr.,TE,83.5
17427,Cairo Santos,K,137.0
5528,Larry Fitzgerald,WR,73.9
4047839,N'Keal Harry,WR,57.4
11283,DeSean Jackson,WR,37.8
15091,Randy Bullock,K,95.0
3051902,Peyton Barber,RB,53.0
-16013,Raiders D/ST,D/ST,28.0
3050487,Anthony Miller,WR,84.2
15971,Rex Burkhead,RB,95.1
3135321,Hunter Renfrow,WR,103.6
3051738,Marquez Valdes-Scantling,WR,120.8
4038524,Gardner Minshew II,QB,160.16
2577134,Ty Montgomery,RB,14.3
4258595,Cole Kmet,TE,48.0
15860,Jordan Reed,TE,60.1
14053,Randall Cobb,WR,81.1
8664,Ryan Fitzpatrick,QB,153.24
3924327,Drew Lock,QB,181.32
16760,Jimmy Garoppolo,QB,64.34
4249087,Matt Gay,K,64.0
3139605,Marlon Mack,RB,7.1
3123050,Chris Herndon,TE,58.2
3051891,Jordan Wilkins,RB,55.3
3125403,Brian Hill,RB,82.9
10475,Greg Olsen,TE,41.9
16974,Trey Burton,TE,69.3
4239934,AJ Dillon,RB,39.3
4034952,La'Mical Perine,RB,47.0
14012,Andy Dalton,QB,136.36
3121410,Parris Campbell,WR,11.7
4243537,Gabriel Davis,WR,119.4
15807,Cordarrelle Patterson,RB,58.9
3128452,Jordan Akins,TE,65.2
3821683,Austin Seibert,K,24.0
16504,Jack Doyle,TE,52.6
2577654,DeAndre Washington,RB,14.6
3128451,Tre'Quan Smith,WR,86.1
3928925,JaMycal Hasty,RB,27.6
3040035,Greg Ward,WR,106.6
3115375,Darrel Williams,RB,45.5
3917612,Ke'Shawn Vaughn,RB,20.8
8416,Alex Smith,QB,71.58
14912,Alshon Jeffery,WR,20.5
4240631,DeeJay Dallas,RB,48.4
3914397,Scotty Miller,WR,86.0
15966,Chris Thompson,RB,32.6
14877,Nick Foles,QB,104.18
14322,Dan Bailey,K,83.0
17082,Cody Parkey,K,107.0
3123969,Ito Smith,RB,48.8
-16004,Bengals D/ST,D/ST,40.0
13215,Dez Bryant,WR,19.7
3066074,Chad Hansen,WR,38.1
3116074,Rodney Smith,RB,32.0
-16008,Lions D/ST,D/ST,16.0
3918639,Gerald Everett,TE,72.4
3932430,Jalen Guyton,WR,83.1
3843750,Derrius Guice,RB,0.0
8461,Mike Nugent,K,29.0
3122449,James Washington,WR,84.2
15788,Tyler Eifert,TE,64.9
15705,Josh Gordon,WR,0.0
17359,Damien Williams,RB,0.0
3894912,Tyron Johnson,WR,69.5
2978109,Zach Pascal,WR,114.9
16786,Richard Rodgers,TE,58.5
4040774,Harrison Bryant,TE,49.8
3139925,Rashaad Penny,RB,3.4
3923397,Ryquell Armstead,RB,0.0
12514,LeSean McCoy,RB,20.7
2577641,Jakeem Grant,WR,69.3
4212909,David Moore,WR,101.3
3043116,Demarcus Robinson,WR,85.1
3049698,Anthony Firkser,TE,64.2
-16001,Falcons D/ST,D/ST,59.0
15965,Dustin Hopkins,K,121.0
4036431,Darrynton Evans,RB,15.1
3045523,Kendrick Bourne,WR,105.2
2576980,Marcus Mariota,QB,25.84
3127292,Will Dissly,TE,49.1
3059989,Nick Mullens,QB,116.28
2972091,Jalen Richard,RB,41.6
3699935,Devine Ozigbo,RB,8.8
2969939,Jameis Winston,QB,2.4
3912547,Sam Darnold,QB,134.02
3917960,Steven Sims Jr.,WR,43.8
14198,Dion Lewis,RB,47.7
2998565,Mo Alie-Cox,TE,64.9
10621,Nick Folk,K,121.0
4241941,Anthony McFarland Jr.,RB,19.7
2577667,Damiere Byrd,WR,91.4
3122672,Royce Freeman,RB,31.1
3116389,Samaje Perine,RB,60.2
3930086,Dawson Knox,TE,54.8
2991767,Blake Jarwin,TE,1.7
15773,Darren Fells,TE,65.7
2576491,Adam Humphries,WR,46.3
3116172,Trace McSorley,QB,9.3
3043080,O.J. Howard,TE,32.1
17258,Willie Snead IV,WR,77.7
15837,Mike Glennon,QB,60.58
2578369,Marvin Hall,WR,51.3
3139033,Mike Boone,RB,13.9
3127310,Drew Sample,TE,58.9
4038994,Sam Sloman,K,52.0
4212989,Dan Arnold,TE,81.3
3932449,Dexter Williams,RB,0.8
3912092,Donald Parham Jr.,TE,38.9
4040616,Dwayne Haskins Jr.,QB,68.16
4038818,Bryan Edwards,WR,30.8
11291,Chad Henne,QB,23.72
3930066,Van Jefferson,WR,37.4
17453,Cameron Brate,TE,54.2
2998120,Josh Lambo,K,28.0
3892889,Dede Westbrook,WR,-1.1
3123076,David Njoku,TE,42.8
4039050,Devin Duvernay,WR,43.1
3931398,Bryce Love,RB,0.0
3116721,Jaylen Samuels,RB,11.9
2574511,Brandon Allen,QB,49.7
14922,Mohamed Sanu Sr.,WR,35.5
3115314,Cam Sims,WR,70.2
2578533,Chris Conley,WR,77.1
3150744,Chase McLaughlin,K,19.0
3048898,Elliott Fry,K,4.0
4045305,Ian Thomas,TE,30.5
3139602,D'Ernest Johnson,RB,19.5
2979520,C.J. Beathard,QB,52.28
3123075,Braxton Berrios,WR,78.8
-16030,Jaguars D/ST,D/ST,32.0
4258195,Donovan Peoples-Jones,WR,51.4
3932423,Miles Boykin,WR,60.1
3914328,Andy Isabella,WR,44.3
3052177,John Ross III,WR,2.7
10456,Marshawn Lynch,RB,0.0
16002,Kyle Juszczyk,RB,72.1
16016,Kenny Stills,WR,25.9
3127211,Patrick Laird,RB,17.0
2573974,Tyler Ervin,RB,20.6
14001,Colin Kaepernick,QB,0.0
11252,Joe Flacco,QB,54.76
4029893,Antonio Gandy-Golden,WR,3.0
4037457,Travis Homer,RB,28.3
3127586,Jeremy McNichols,RB,37.9
14163,Tyrod Taylor,QB,9.02
3917962,Jace Sternberger,TE,23.4
13199,Colt McCoy,QB,18.2
3040569,Trent Taylor,WR,13.6
3116407,Mason Rudolph,QB,18.36
4038441,Justice Hill,RB,10.5
4039043,Collin Johnson,WR,50.2
4036416,Byron Pringle,WR,34.5
3045260,Corey Clement,RB,18.5
4036378,Jordan Love,QB,0.0
4035170,Marquez Callaway,WR,31.8
4361606,Darwin Thompson,RB,29.7
3115293,Kyle Allen,QB,45.0
3124900,Jake Luton,QB,28.26
4411193,Deonte Harris,WR,37.7
2587819,Tyrell Williams,WR,0.0
14875,Robert Griffin III,QB,2.58
4035222,Trayveon Williams,RB,19.2
3895785,Ben DiNucci,QB,6.96
2310331,Tyler Johnson,WR,34.9
3125404,Jacob Hollister,TE,53.4
4035793,Quintez Cephus,WR,56.9
14816,Kai Forbath,K,9.0
3892775,Jarrett Stidham,QB,12.94
3124092,John Wolford,QB,12.84
14874,Andrew Luck,QB,0.0
2576336,Ameer Abdullah,RB,26.0
12471,Chase Daniel,QB,12.16
3120303,Ross Dwelley,TE,40.0
14886,Lamar Miller,RB,1.6
2582410,Tyler Kroft,TE,35.9
15853,Vance McDonald,TE,17.4
15009,Alfred Morris,RB,39.2
3127335,Ryan Nall,RB,16.7
2582139,Sam Ficken,K,52.0
3911853,Adam Trautman,TE,30.6
10453,Ted Ginn Jr.,WR,5.5
11923,Stephen Hauschka,K,0.0
4527,Jason Witten,TE,25.4
3917914,Olamide Zaccheaus,WR,43.4
5526,Eli Manning,QB,0.0
4242873,Eno Benjamin,RB,0.0
2574576,C.J. Uzomah,TE,18.7
3700815,Kendall Hinton,QB,-2.78
2579604,Phillip Dorsett II,WR,0.0
2977609,Devin Funchess,WR,0.0
3931397,J.J. Arcega-Whiteside,WR,18.5
4046522,Devin Asiasi,TE,10.9
2973405,Kalif Raymond,WR,22.9
4424106,Gunner Olszewski,WR,23.0
4036335,Cedrick Wilson,WR,43.12
5362,Antonio Gates,TE,0.0
1097,Adam Vinatieri,K,0.0
2975417,Patrick Ricard,DT,12.9
14402,Chris Hogan,WR,18.8
11307,Jamaal Charles,RB,0.0
2578570,Jacoby Brissett,QB,20.58
2574591,Nick Boyle,TE,30.3
4035115,Albert Okwuegbunam,TE,23.6
3045225,Jake Butt,TE,1.5
14269,Dontrelle Inman,WR,37.3
3061612,Jamal Agnew,WR,22.7
3051308,P.J. Walker,QB,8.52
3913295,Justin Rohrwasser,K,0.0
3057987,DaeSean Hamilton,WR,50.8
3124069,Isaiah Ford,WR,41.6
3728262,Ray-Ray McCloud,WR,22.2
16809,Garrett Gilbert,QB,14.52
3932420,Josh Adams,RB,33.6
3115328,Jalen Hurd,WR,0.0
15786,Tavon Austin,WR,2.5
3116642,Reggie Bonnafon,RB,15.7
3929118,Jeff Smith,WR,25.2
3932442,Equanimeous St. Brown,WR,21.9
4044121,Isaiah Wright,WR,32.8
2983319,Troymaine Pope,RB,15.8
3042876,Ryan Finley,QB,19.16
11270,Jordy Nelson,WR,0.0
4373673,John Hightower,WR,23.8
15948,Matt Barkley,QB,9.28
3921564,Auden Tate,WR,22.0
3126367,Bo Scarbrough,RB,3.1
3068939,Aldrick Rosas,K,36.0
4035003,Jacob Eason,QB,0.0
2971718,Marcus Johnson,WR,32.5
12482,Mark Sanchez,QB,0.0
3047968,Chad Beebe,WR,40.1
2972236,Nathan Peterman,QB,1.9
3123986,Mike Thomas,WR,23.8
15839,Marquise Goodwin,WR,0.0
4039607,J.J. Taylor,RB,11.9
3128444,Matthew Wright,K,21.0
3722362,Brett Rypien,QB,11.3
3052897,Durham Smythe,TE,45.8
2976516,T.J. Yeldon,RB,15.7
3917067,Bisi Johnson,WR,27.9
3046409,Alex Collins,RB,20.6
4261020,Trenton Cannon,RB,6.4
4012556,C.J. Ham,RB,21.5
3128724,Isaiah McKenzie,WR,84.58
2148,Sebastian Janikowski,K,0.0
9614,Marcedes Lewis,TE,33.7
2980148,C.J. Prosise,RB,10.2
3917668,Alec Ingold,RB,23.4
9705,Brandon Marshall,WR,0.0
4044452,Kaden Smith,TE,20.2
4050373,Quez Watkins,WR,20.1
4034949,Eddy Pineiro,K,0.0
13226,Andre Roberts,WR,1.1
2991662,Mack Hollins,WR,29.6
3051806,Ricky Seals-Jones,TE,0.0
3122920,Ryan Izzo,TE,24.4
4198676,Adam Shaheen,TE,39.0
3125116,D'Onta Foreman,RB,16.5
3127306,Dante Pettis,WR,13.6
4034950,Freddie Swain,WR,34.4
16121,Luke Willson,TE,1.7
13213,LeGarrette Blount,RB,0.0
15168,Case Keenum,QB,1.84
3047876,KhaDarel Hodge,WR,23.5
4035015,Riley Ridley,WR,5.9
4036189,Thaddeus Moss,TE,0.0
15864,Geno Smith,QB,1.12
3886377,Josh Rosen,QB,0.0
3915486,Tyler Conklin,TE,34.9
3915522,KJ Hill Jr.,WR,8.8
17480,Sergio Castillo,K,31.0
2508079,James O'Shaughnessy,TE,40.2
14221,Doug Baldwin,WR,0.0
15887,Ryan Griffin,TE,13.1
12477,Brian Hoyer,QB,2.0
4039436,Malcolm Perry,WR,20.2
2576450,Derek Watt,RB,0.0
3118892,Justin Watson,WR,12.9
4240861,Dalton Keene,TE,3.1
2979590,Jesse James,TE,31.9
3124537,KeeSean Johnson,WR,24.8
3059722,Zay Jones,WR,29.56
2514206,Blake Bell,TE,16.7
4035019,Javon Wims,WR,14.0
16143,Josh Hill,TE,14.6
2573300,Jay Ajayi,RB,0.0
14135,Anthony Sherman,RB,7.8
4248504,Isaiah Coulter,WR,0.0
4408988,Malik Taylor,WR,16.0
2980073,Jeremy Sprinkle,TE,1.1
4038815,Rico Dowdle,RB,2.4
4240689,Jake Fromm,QB,0.0
9761,Delanie Walker,TE,0.0
3121409,Noah Brown,WR,22.8
17051,Albert Wilson,WR,0.0
4036163,Kelvin Harmon,WR,0.0
2977800,Alex Erickson,WR,16.6
2511973,Eric Tomlinson,TE,0.0
2576399,Nick Vannett,TE,22.5
3115255,Brandon Powell,WR,23.6
2565969,Taylor Heinicke,QB,11.68
2974317,Andy Janovich,RB,2.7
3123944,Qadree Ollison,RB,0.3
3843945,Foster Moreau,TE,29.5
3048897,Pharoh Cooper,WR,9.8
4329472,Nick Keizer,TE,7.3
13987,Blaine Gabbert,QB,15.32
4037591,Joe Reed,WR,8.9
3917940,Hakeem Butler,WR,0.0
3126246,Dontrell Hilliard,RB,5.5
3045169,Tim Boyle,QB,-0.9
3916204,James Proche II,WR,1.9
4039057,Lil'Jordan Humphrey,WR,12.1
3135726,Jon Brown,K,3.0
3040206,Chris Streveler,QB,7.7
4040623,Austin Mack,WR,12.6
3917569,Ja'Marcus Bradley,WR,8.5
3126002,Christian Blake,WR,20.6
1440,Phil Dawson,K,0.0
3044720,Joshua Dobbs,QB,2.08
4333,Matt Bryant,K,0.0
16724,Blake Bortles,QB,0.0
3120588,Darrius Shepherd,WR,5.1
3115349,Jakob Johnson,RB,13.5
16730,Kelvin Benjamin,WR,0.0
4040790,Jason Huntley,RB,2.4
16886,Martavis Bryant,WR,0.0
4212884,Alex Armah,RB,5.2
2515270,Michael Burton,RB,6.6
2574630,Jeff Driskel,QB,30.08
2969896,Max McCaffrey,WR,0.0
8544,Darren Sproles,RB,0.0
3040470,Cethan Carter,RB,7.8
12563,Michael Crabtree,WR,0.0
3915097,Antonio Callaway,WR,3.0
3085107,Jake Kumerow,WR,8.7
17463,Diontae Spencer,WR,12.0
2982828,Tajae Sharpe,WR,0.0
3929645,Juwan Johnson,WR,5.9
3040137,Derrick Willies,WR,0.0
3921690,Josh Oliver,TE,0.0
5615,Matt Schaub,QB,-0.4
3059766,Deon Yelder,TE,7.1
17177,Allen Hurns,WR,0.0
16810,AJ McCarron,QB,0.8
3115913,Geronimo Allison,WR,0.0
13197,Sam Bradford,QB,0.0
13216,Demaryius Thomas,WR,0.0
4242540,Isaiah Hodgins,WR,0.0
2970726,Maxx Williams,TE,20.2
16318,Demetrius Harris,TE,8.0
17315,Keith Smith,RB,12.1
16486,Brett Maher,K,0.0
2575965,Elijhaa Penny,RB,4.5
3051889,Laquon Treadwell,WR,19.9
3843217,Chandler Cox,RB,1.9
3118954,Jaeden Graham,TE,4.0
3916566,K.J. Osborn,WR,0.0
3123074,Tyre Brady,WR,0.0
3139456,Cameron Batson,WR,24.0
3914151,Josiah Deguara,TE,1.7
11387,Matthew Slater,WR,0.0
3975763,Greg Joseph,K,0.0
4241940,Javon Leake,RB,0.0
4035611,Gabe Nabers,RB,17.7
3115365,Trey Quinn,WR,0.0
17437,Taylor Gabriel,WR,0.0
3916209,Xavier Jones,RB,0.0
2980460,Gehrig Dieter,WR,1.5
4038220,Cole McDonald,QB,0.0
2517017,Sean Mannion,QB,0.0
3051869,Quincy Adeboyejo,WR,0.0
16787,Marqise Lee,WR,0.0
3115252,Will Grier,QB,0.0
3052413,Matthew McCrane,K,0.0
4611153,Taylor Russolino,K,0.0
3930298,Noah Togiai,TE,0.0
3918003,Brycen Hopkins,TE,0.0
14885,Doug Martin,RB,0.0
3933327,Kahale Warring,TE,5.0
2580216,DeAndre Carter,WR,-0.7
3122716,Buddy Howell,RB,7.2
4036275,Sean McKeon,TE,0.0
3929924,Zach Gentry,TE,0.0
2973626,C.J. Board,WR,15.9
3002265,Dwayne Washington,RB,1.5
16791,Donte Moncrief,WR,2.4
2576854,Stephen Anderson,TE,14.6
15980,Levine Toilolo,TE,7.1
3917558,Brandon Wright,K,1.0
2508256,MyCole Pruitt,TE,25.4
14851,Terrelle Pryor Sr.,WR,0.0
4055171,Anthony Gordon,QB,0.0
15245,Giorgio Tavecchio,K,0.0
2978308,Jaydon Mickens,WR,9.3
9592,Vernon Davis,TE,0.0
3916564,Tyree Jackson,QB,0.0
3052166,Darrell Daniels,TE,19.2
4039505,Reggie Gilliam,RB,8.6
16976,Chandler Catanzaro,K,0.0
4243318,Hunter Bryant,TE,4.9
2531358,Chris Manhertz,TE,8.2
2577189,Brett Hundley,QB,0.0
17402,Seth Roberts,WR,5.1
3042749,Logan Woodside,QB,1.28
3042429,Wendell Smallwood,RB,0.0
14099,Luke Stocker,TE,9.8
15994,Theo Riddick,RB,8.2
15918,Caleb Sturgis,K,0.0
3122154,Khari Blasingame,RB,5.9
3127051,Devlin Hodges,QB,0.0
4294520,Brandon Zylstra,WR,5.1
14879,Brock Osweiler,QB,0.0
3916927,Will Hastings,WR,0.0
3915772,Jared Pinkney,TE,0.0
5557,Ben Watson,TE,0.0
3045264,Troy Fumagalli,TE,18.0
3119317,Nsimba Webster,WR,-2.0
4040732,Raymond Calais,RB,0.0
14215,Lee Smith,TE,17.5
4242557,Colby Parkinson,TE,2.6
8644,Matt Cassel,QB,0.0
3123857,Austin Walter,RB,3.5
3929785,Nick Westbrook-Ikhine,WR,4.8
2971830,JoJo Natson,WR,0.3
4034964,Tyrie Cleveland,WR,9.3
4036149,Nate Stanley,QB,0.0
3916721,LeVante Bellamy,RB,2.1
3122168,Trent Sherfield,WR,7.5
3052056,River Cracraft,WR,7.1
14167,Taiwan Jones,RB,0.0
15921,Kenjon Barner,RB,0.0
4042808,Artavis Pierce,RB,9.4
3886598,Jauan Jennings,WR,0.0
3929637,Dan Chisena,WR,0.0
17421,Senorise Perry,RB,0.9
17133,Isaiah Crowell,RB,0.0
3843603,Jazz Ferguson,WR,0.0
4042112,Adrian Killins Jr.,RB,-0.5
14085,Virgil Green,TE,12.5
4038533,Darius Anderson,RB,0.0
4046715,Trishton Jackson,WR,0.0
4329471,J.J. Jones,WR,0.0
3116384,Carson Meier,TE,0.0
3043225,Steven Mitchell Jr.,WR,8.5
3155188,Vyncint Smith,WR,1.8
4035006,Elijah Holyfield,RB,0.0
2974503,Reggie Begelton,WR,0.0
3120590,Easton Stick,QB,-0.04
15284,Bradley Sowell,TE,0.0
3046399,Marcus Kemp,WR,1.6
3115928,Malik Turner,WR,0.0
3116158,Jason Cabinda,RB,1.8
14083,Bruce Miller,RB,0.7
4035379,Jordan Thomas,TE,6.8
3917546,Penny Hart,WR,2.7
3046704,Geoff Swaim,TE,18.8
2974339,Austin Carr,WR,10.2
